,Quiescent,Active,Jailed,Fighting,Legitimacy,cop_vision,run
64,631,224,252,13,0.4973499631222075,3,7
65,642,187,269,20,0.5023057484145088,3,7
66,641,169,286,22,0.5136068603962023,3,7
67,651,131,319,17,0.5159579975885954,3,7
68,676,92,342,8,0.5288088909498772,3,7
69,703,54,352,9,0.5504572443775163,3,7
70,718,37,355,8,0.5714772970055937,3,7
71,742,24,347,5,0.5828394315459385,3,7
72,753,17,343,5,0.5989505666801679,3,7
73,781,3,333,1,0.6063708299038748,3,7
74,801,0,315,2,0.6255747684878475,3,7
75,825,0,293,0,0.6376049221180813,3,7
76,840,0,277,1,0.652257353172365,3,7
77,855,0,262,1,0.6611703473868874,3,7
78,865,1,252,0,0.6703795068941346,3,7
79,882,0,236,0,0.676580455991337,3,7
80,889,1,227,1,0.6874031258528689,3,7
81,906,0,211,1,0.6914605115979585,3,7
82,922,0,196,0,0.7024240399244137,3,7
83,943,0,175,0,0.7127999919512573,3,7
84,958,0,160,0,0.7261625414567989,3,7
85,973,1,144,0,0.7356083490878895,3,7
86,987,0,130,1,0.7446999658709585,3,7
87,1001,0,116,1,0.7531019185253135,3,7
88,1011,0,107,0,0.7611578084595602,3,7
89,1023,1,93,1,0.7668173138797272,3,7
90,1042,2,72,2,0.7726712292698085,3,7
91,1056,1,60,1,0.7812171342660823,3,7
92,1068,1,48,1,0.7873960454063095,3,7
93,1075,0,42,1,0.7919842550335491,3,7
94,1087,0,31,0,0.7947306304360877,3,7
95,1091,0,27,0,0.7992305974431325,3,7
96,1095,0,23,0,0.8006636119870424,3,7
97,1098,0,19,1,0.8020960563503191,3,7
98,1100,1,17,0,0.8029912651017412,3,7
99,1100,0,16,2,0.8037074234065071,3,7
100,1092,9,16,1,0.803528384105197,3,7
101,998,88,17,15,0.799231356168493,3,7
102,689,353,34,41,0.7412042099743964,3,7
103,599,422,83,13,0.5048860652360749,3,7
104,603,374,115,25,0.45117524851438795,3,7
105,614,345,146,11,0.45961803218665875,3,7
106,624,292,175,24,0.47298355235359246,3,7
107,622,279,202,11,0.4853543299344345,3,7
108,638,223,226,26,0.4891433592397831,3,7
109,637,211,253,11,0.5048106893985043,3,7
110,642,171,277,20,0.5092866719312554,3,7
111,669,136,291,13,0.5177286090447385,3,7
112,675,107,311,16,0.5395171060345471,3,7
113,696,85,319,9,0.5473488358817165,3,7
114,705,68,325,11,0.5637836171948534,3,7
115,722,47,333,7,0.5713486201162832,3,7
116,757,11,335,5,0.5851456267876659,3,7
117,775,2,331,0,0.6118032524196857,3,7
118,793,0,313,2,0.6246691270591931,3,7
119,813,0,295,0,0.6352033221474767,3,7
